order_item_id,order_id,product_id,quantity,unit_price,discount,profit
1,1,3,1,589.12,0.0,176.18
2,1,129,1,346.58,0.05,155.9
3,1,135,1,786.28,0.3,216.05
4,1,69,3,596.14,0.0,649.83
5,1,80,1,692.97,0.25,184.97
6,2,146,1,69.07,0.2,26.49
7,3,13,1,133.25,0.3,24.69
8,3,104,2,713.08,0.05,750.55
9,4,187,1,223.02,0.05,101.9
10,4,161,2,607.74,0.05,456.49
11,5,69,1,596.14,0.1,157.0
12,6,11,1,584.44,0.05,219.88
13,6,130,1,157.4,0.3,36.99
14,7,71,1,715.66,0.0,375.97
15,7,111,1,46.14,0.0,26.96
16,8,187,1,223.02,0.0,113.05
17,9,92,2,565.89,0.0,405.36
18,9,85,1,254.51,0.0,85.86
19,9,1,1,584.36,0.2,115.87
20,9,54,1,1082.75,0.1,485.09
21,10,104,1,713.08,0.0,410.93
22,10,117,1,97.02,0.3,7.54
23,10,62,1,285.98,0.0,141.48
24,11,31,1,647.79,0.0,355.43
25,12,24,1,20.82,0.0,9.51
26,13,36,1,539.05,0.25,-9.92
27,13,176,2,378.49,0.3,107.31
28,13,127,2,811.48,0.25,297.64
29,14,159,1,413.67,0.15,166.7
30,14,12,1,336.42,0.0,154.03
31,14,100,2,644.39,0.3,285.33
32,15,67,1,647.26,0.0,377.14
33,15,100,1,644.39,0.3,142.66
34,16,57,1,892.48,0.0,455.77
35,17,186,2,493.82,0.3,226.87
36,17,63,2,996.53,0.15,857.92
37,17,115,1,265.0,0.3,66.93
38,17,22,1,396.08,0.1,67.84
39,18,37,1,413.44,0.1,184.83
40,18,195,1,337.1,0.0,147.79
41,19,67,2,647.26,0.0,754.28
42,20,53,1,38.13,0.05,8.63
43,21,106,1,221.41,0.15,72.57
44,22,148,1,955.85,0.1,389.56
45,22,156,1,726.59,0.1,334.38
46,23,111,1,46.14,0.0,26.96
47,23,114,1,397.92,0.1,134.65
48,23,38,2,122.11,0.0,95.82
49,23,184,2,730.61,0.3,364.75
50,24,177,1,457.66,0.3,82.1
51,24,130,1,157.4,0.1,68.47
52,24,39,3,598.55,0.0,722.28
53,24,36,3,539.05,0.2,51.09
54,25,136,1,928.76,0.0,511.4
55,26,177,2,457.66,0.25,209.97
56,26,84,1,574.58,0.15,87.12
57,27,50,1,601.36,0.05,115.17
58,27,106,1,221.41,0.25,50.43
59,28,76,1,646.8,0.0,349.0
60,29,144,1,378.77,0.0,165.47
61,29,36,1,539.05,0.0,124.84
62,29,142,1,331.65,0.15,132.22
63,29,180,1,679.52,0.0,255.01
64,29,85,1,254.51,0.2,34.96
