order_id,customer_id,order_date,ship_date,return_date,ship_mode,total_amount
1,520,2025-10-28,2025-11-02,,Same Day,3776.91
2,577,2025-03-18,2025-03-22,,Express,55.26
3,340,2025-09-21,2025-09-22,,Same Day,1448.13
4,316,2025-09-13,2025-09-19,,Same Day,1366.57
5,28,2025-11-18,2025-11-22,,Same Day,536.53
6,802,2025-11-09,2025-11-14,,Same Day,665.4
7,53,2025-10-19,2025-10-21,,Same Day,761.8
8,635,2025-10-26,2025-11-02,,Same Day,223.02
9,249,2023-04-16,2023-04-21,,Standard,2828.25
10,196,2025-09-02,2025-09-06,,Standard,1066.97
11,423,2025-08-25,2025-08-27,,Same Day,647.79
12,943,2024-08-10,2024-08-17,,Same Day,20.82
13,64,2024-07-01,2024-07-06,,Express,2151.39
14,679,2025-08-20,2025-08-25,,Standard,1590.19
15,471,2025-11-07,2025-11-10,,Same Day,1098.33
16,791,2025-08-27,2025-09-02,,Same Day,892.48
17,271,2025-11-06,2025-11-10,,Standard,2927.42
18,286,2025-12-09,2025-12-12,,Express,709.2
19,790,2025-04-05,2025-04-11,,Same Day,1294.52
20,501,2025-05-27,2025-05-31,,Same Day,36.22
21,281,2024-08-12,2024-08-13,,Same Day,188.2
22,389,2024-11-12,2024-11-19,,Standard,1514.2
23,298,2025-07-30,2025-08-02,,Standard,1671.34
24,355,2025-07-21,2025-07-27,,Express,3551.39
25,220,2025-11-06,2025-11-13,,Same Day,928.76
26,713,2024-05-13,2024-05-15,2024-06-08,Same Day,1174.88
27,246,2023-11-05,2023-11-06,,Same Day,737.35
28,232,2024-10-29,2024-10-30,2024-11-11,Same Day,646.8
29,484,2024-07-02,2024-07-08,,Standard,2082.85
30,988,2025-09-19,2025-09-21,,Express,112.42
31,489,2025-07-23,2025-07-25,,Express,641.3
32,329,2024-11-30,2024-12-06,2024-12-27,Standard,247.84
33,668,2025-10-30,2025-11-01,,Same Day,195.19
34,871,2024-07-14,2024-07-16,,Standard,283.25
35,957,2025-11-07,2025-11-08,,Express,175.67
36,807,2025-11-09,2025-11-11,,Express,5119.52
37,898,2023-05-25,2023-05-26,,Same Day,2638.89
38,110,2024-04-12,2024-04-15,,Same Day,1439.9
39,557,2025-05-04,2025-05-08,,Standard,2360.76
40,872,2025-11-14,2025-11-18,,Standard,1286.08
41,339,2024-09-19,2024-09-25,,Express,1535.5
42,736,2024-02-20,2024-02-21,,Express,3699.48
43,582,2025-12-05,2025-12-12,,Same Day,2026.74
44,877,2025-04-20,2025-04-27,,Express,1328.95
45,89,2024-10-20,2024-10-26,2024-10-27,Express,1416.29
46,332,2024-11-18,2024-11-19,,Standard,1373.89
47,458,2025-08-08,2025-08-11,,Same Day,1053.89
48,587,2023-09-18,2023-09-21,,Same Day,322.6
49,242,2023-08-06,2023-08-12,2023-08-18,Standard,418.11
50,416,2025-12-08,2025-12-13,,Same Day,526.71
51,789,2025-07-21,2025-07-27,2025-08-02,Express,230.09
52,630,2025-03-15,2025-03-17,,Express,799.67
53,157,2025-11-09,2025-11-15,,Express,2073.42
54,426,2025-10-31,2025-11-07,,Same Day,720.78
55,846,2024-05-31,2024-06-07,,Same Day,756.11
56,895,2025-10-02,2025-10-07,,Same Day,291.21
57,371,2024-08-31,2024-09-05,2024-09-29,Same Day,538.07
58,925,2025-07-25,2025-07-27,,Standard,125.69
59,169,2025-05-30,2025-06-06,,Standard,265.0
60,697,2025-03-03,2025-03-09,,Standard,715.66
61,921,2024-10-29,2024-11-02,,Express,1531.15
62,136,2025-09-05,2025-09-09,,Same Day,457.66
63,474,2025-01-11,2025-01-18,,Standard,430.47
64,406,2025-04-26,2025-05-03,2025-05-05,Same Day,4700.0
65,75,2024-11-08,2024-11-12,,Standard,836.41
66,555,2024-12-12,2024-12-13,,Express,1554.13
67,33,2024-06-29,2024-07-03,,Standard,827.43
68,785,2025-05-15,2025-05-18,,Express,1645.29
69,460,2025-10-18,2025-10-22,2025-11-11,Same Day,1621.72
70,137,2025-09-17,2025-09-24,,Standard,797.55
71,551,2025-11-11,2025-11-16,,Standard,335.76
72,855,2025-10-25,2025-11-01,2025-11-06,Express,1250.74
73,690,2025-08-08,2025-08-12,,Standard,877.29
74,254,2024-11-06,2024-11-09,,Standard,2036.33
75,960,2024-11-03,2024-11-04,,Express,2840.68
76,630,2024-11-30,2024-12-02,,Standard,1811.74
77,609,2023-08-27,2023-08-31,,Same Day,392.99
78,894,2024-04-16,2024-04-18,,Express,324.45
79,450,2025-10-22,2025-10-27,,Standard,1169.93
80,144,2024-09-29,2024-10-01,,Same Day,411.53
81,590,2025-11-08,2025-11-13,,Same Day,2860.33
82,839,2025-03-21,2025-03-23,,Standard,1744.96
83,677,2025-09-10,2025-09-12,,Express,2044.53
84,63,2025-10-20,2025-10-25,,Standard,2436.78
85,642,2025-11-11,2025-11-15,,Standard,761.48
86,996,2025-01-29,2025-02-04,,Same Day,822.94
87,327,2025-11-30,2025-12-04,,Express,1151.28
88,386,2024-05-06,2024-05-13,,Standard,206.7
89,870,2025-09-15,2025-09-18,,Standard,1519.22
90,826,2024-07-01,2024-07-02,,Express,638.44
91,571,2024-12-17,2024-12-19,,Express,1034.88
92,209,2025-03-23,2025-03-29,2025-04-09,Express,1106.93
93,95,2025-04-16,2025-04-22,,Standard,684.42
94,275,2024-08-30,2024-09-05,,Standard,1345.14
95,895,2025-10-01,2025-10-03,,Same Day,412.26
96,742,2025-07-08,2025-07-13,,Standard,2706.71
97,891,2024-10-21,2024-10-24,,Standard,1091.08
98,217,2025-10-20,2025-10-22,,Standard,662.46
99,765,2025-08-14,2025-08-18,,Same Day,4065.92
100,619,2025-08-21,2025-08-23,,Standard,477.69
101,566,2024-07-27,2024-08-03,,Express,2262.92
102,547,2025-11-16,2025-11-19,,Express,1669.38
103,526,2025-10-24,2025-10-28,2025-11-19,Express,915.21
104,780,2024-11-22,2024-11-24,,Express,1270.09
105,47,2025-11-15,2025-11-22,,Standard,2153.57
106,17,2025-08-15,2025-08-20,,Same Day,1642.92
107,738,2025-01-28,2025-01-31,,Express,2536.86
108,236,2025-09-02,2025-09-07,,Express,498.13
109,564,2024-12-26,2024-12-29,,Express,618.77
110,990,2025-12-08,2025-12-12,,Express,863.64
111,174,2025-02-24,2025-03-02,,Standard,594.25
112,939,2025-03-12,2025-03-18,,Same Day,232.15
113,35,2024-07-16,2024-07-23,,Standard,1064.23
114,423,2024-02-05,2024-02-12,,Standard,2165.22
115,725,2025-03-30,2025-03-31,,Express,476.91
116,383,2025-02-27,2025-03-04,,Same Day,57.87
117,935,2025-07-19,2025-07-25,,Standard,500.02
